,tweet,scores,tokens,length,absolutely_negative,very_negative,negative,neutral,positive,very_positive,perception
10,"b'rt @7anpanman_ever: simple\nno creas, ni difundas toda informaci\xc3\xb3n que puede ser maliciosa solo porque esta escrita en coreano \n\nni para rep\xe2\x80\xa6'",[ 0  0  0  0  1  0  0  0  0  0  0  0  0  0 -2  0  1  0  0  0  0],"[""b'rt"", '@7anpanman_ever:', 'simple\\nno', 'creas,', 'ni', 'difundas', 'toda', 'informaci\\xc3\\xb3n', 'que', 'puede', 'ser', 'maliciosa', 'solo', 'porque', 'esta', 'escrita', 'en', 'coreano', '\\n\\nni', 'para', ""rep\\xe2\\x80\\xa6'""]",164.0,0.0,2.0,0.0,8.0,4.0,0.0,0.0
11,"b'rt @queenviv_: buenos d\xc3\xadas a todos, menos a cable onda que me dejo en feo y sin internet en medio de la presentaci\xc3\xb3n de mi entrega semestra\xe2\x80\xa6'","[ 0  0  1  0 -3  0  0 -3  0  0  0  2  0  1 -1  0  0  0  1  0 -2 -1  0 -2
 -3  0  0]","[""b'rt"", '@queenviv_:', 'buenos', 'd\\xc3\\xadas', 'a', 'todos,', 'menos', 'a', 'cable', 'onda', 'que', 'me', 'dejo', 'en', 'feo', 'y', 'sin', 'internet', 'en', 'medio', 'de', 'la', 'presentaci\\xc3\\xb3n', 'de', 'mi', 'entrega', ""semestra\\xe2\\x80\\xa6'""]",168.0,6.0,4.0,4.0,18.0,6.0,2.0,0.0
11,b'rt @paola_ah24: unas 4 cirug\xc3\xadas por ah\xc3\xad y ya voy a tener amor propio \xf0\x9f\x98\x83',[ 0  0  0  0  0  0  0  0  0  0 -3  0  2  0  0],"[""b'rt"", '@paola_ah24:', 'unas', '4', 'cirug\\xc3\\xadas', 'por', 'ah\\xc3\\xad', 'y', 'ya', 'voy', 'a', 'tener', 'amor', 'propio', ""\\xf0\\x9f\\x98\\x83'""]",102.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0
12,b'qu\xc3\xa9 onda el cable pac\xc3\xadfico no se ve ningun canal en la tele \xf0\x9f\x98\xa9',[ 0  0  2  0  0 -1  0 -3  0  0  1 -1  0  0],"[""b'qu\\xc3\\xa9"", 'onda', 'el', 'cable', 'pac\\xc3\\xadfico', 'no', 'se', 've', 'ningun', 'canal', 'en', 'la', 'tele', ""\\xf0\\x9f\\x98\\xa9'""]",93.0,2.0,0.0,4.0,10.0,2.0,2.0,0.0
12,b'quise cultivar un amor y me he quedado soooolooooo',[0 0 0 2 0 2 2 0 0],"[""b'quise"", 'cultivar', 'un', 'amor', 'y', 'me', 'he', 'quedado', ""soooolooooo'""]",53.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0
13,b'puede un profesor enojarse porque se te cayo el wifi ? man ni que fuera la due\xc3\xb1a de cable onda \xf0\x9f\x99\x82',[ 0  0  0  0  0  0 -2  0  2  0  0  2  1  0  0 -1  0 -2  0  0  0],"[""b'puede"", 'un', 'profesor', 'enojarse', 'porque', 'se', 'te', 'cayo', 'el', 'wifi', '?', 'man', 'ni', 'que', 'fuera', 'la', 'due\\xc3\\xb1a', 'de', 'cable', 'onda', ""\\xf0\\x9f\\x99\\x82'""]",121.0,0.0,4.0,2.0,12.0,2.0,4.0,0.0
13,b'\xc2\xbfy t\xc3\xba cuantas veces al d\xc3\xada act\xc3\xbaas desde el amor y no desde el miedo?',[ 0  0  0  0 -1  0  0  0  2  2  0 -1  0  2  0],"[""b'\\xc2\\xbfy"", 't\\xc3\\xba', 'cuantas', 'veces', 'al', 'd\\xc3\\xada', 'act\\xc3\\xbaas', 'desde', 'el', 'amor', 'y', 'no', 'desde', 'el', ""miedo?'""]",99.0,0.0,0.0,4.0,10.0,0.0,4.0,0.0
14,"b'prueba de fuego para cable onda hoy que la mayor\xc3\xada de las escuelas p\xc3\xbablicas, privadas y universidades est\xc3\xa1n dando clases virtuales.\xf0\x9f\x98\x82'",[ 0 -2  0  0  0  0  0  0 -1  0 -2 -1  0  0  0  0  0  0  0  0  0],"[""b'prueba"", 'de', 'fuego', 'para', 'cable', 'onda', 'hoy', 'que', 'la', 'mayor\\xc3\\xada', 'de', 'las', 'escuelas', 'p\\xc3\\xbablicas,', 'privadas', 'y', 'universidades', 'est\\xc3\\xa1n', 'dando', 'clases', ""virtuales.\\xf0\\x9f\\x98\\x82'""]",171.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0
14,"b'rt @literlandweb1: ""qu\xc3\xa9 f\xc3\xa1cil callar, ser serena y objetiva con los seres que no me interesan verdaderamente, a cuyo amor o amistad no aspi\xe2\x80\xa6'",[ 0  0  0  0  0  0  0  0  0  0 -1  0  0 -1  2  0  0 -3  0  2 -2  0 -1  0],"[""b'rt"", '@literlandweb1:', '""qu\\xc3\\xa9', 'f\\xc3\\xa1cil', 'callar,', 'ser', 'serena', 'y', 'objetiva', 'con', 'los', 'seres', 'que', 'no', 'me', 'interesan', 'verdaderamente,', 'a', 'cuyo', 'amor', 'o', 'amistad', 'no', ""aspi\\xe2\\x80\\xa6'""]",168.0,2.0,2.0,6.0,12.0,0.0,4.0,0.0
15,b'rt @cableondanews: \xc2\xa1la mejor diversi\xc3\xb3n esta con los ugly y los shores! \xf0\x9f\x98\x8e\ndisfruta la mejor programaci\xc3\xb3n desde el app de cable onda go en tu\xe2\x80\xa6',"[ 0  0  0  2  0 -2  0 -1  0  0 -1  0  0 -1  2  0  0  2  0 -2  0  0  0  1
  0]","[""b'rt"", '@cableondanews:', '\\xc2\\xa1la', 'mejor', 'diversi\\xc3\\xb3n', 'esta', 'con', 'los', 'ugly', 'y', 'los', 'shores!', '\\xf0\\x9f\\x98\\x8e\\ndisfruta', 'la', 'mejor', 'programaci\\xc3\\xb3n', 'desde', 'el', 'app', 'de', 'cable', 'onda', 'go', 'en', ""tu\\xe2\\x80\\xa6'""]",191.0,0.0,4.0,6.0,18.0,2.0,6.0,0.0
15,b'rt @real_precious_m: mi amor \xf0\x9f\x8c\xb8\xf0\x9f\x98\x8d\xf0\x9f\xa7\xa1 https://t.co/douwjduzul',[ 0  0 -3  2  0  0],"[""b'rt"", '@real_precious_m:', 'mi', 'amor', '\\xf0\\x9f\\x8c\\xb8\\xf0\\x9f\\x98\\x8d\\xf0\\x9f\\xa7\\xa1', ""https://t.co/douwjduzul'""]",104.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0
16,b'rt @mayelaabr: te odio cable onda',[ 0  0 -2 -2  0  0],"[""b'rt"", '@mayelaabr:', 'te', 'odio', 'cable', ""onda'""]",36.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
16,"b'#thankyouliam por ser un amor de persona con las fans, y apoyarnos como un fan loco m\xc3\xa1s \nte amamos\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/qmfavhvotu'",[ 0  0  0  0  2 -2  0  0 -1  0  0  0  0  0  0  0  0  0  0  0],"[""b'#thankyouliam"", 'por', 'ser', 'un', 'amor', 'de', 'persona', 'con', 'las', 'fans,', 'y', 'apoyarnos', 'como', 'un', 'fan', 'loco', 'm\\xc3\\xa1s', '\\nte', 'amamos\\xe2\\x9d\\xa4\\xef\\xb8\\x8f\\xe2\\x9d\\xa4\\xef\\xb8\\x8f\\xe2\\x9d\\xa4\\xef\\xb8\\x8f\\xe2\\x9d\\xa4\\xef\\xb8\\x8f', ""https://t.co/qmfavhvotu'""]",229.0,0.0,2.0,2.0,6.0,0.0,2.0,0.0
17,"b'todos los que empiezan clases virtuales hoy, tengan mucha paciencia, porque si no los mata las sopotocientas tareas\xe2\x80\xa6 https://t.co/eylv7kbvay'",[ 0 -1  0  0  0  0  0  0  0  0  0 -2 -1 -1  0 -1  0  0  0],"[""b'todos"", 'los', 'que', 'empiezan', 'clases', 'virtuales', 'hoy,', 'tengan', 'mucha', 'paciencia,', 'porque', 'si', 'no', 'los', 'mata', 'las', 'sopotocientas', 'tareas\\xe2\\x80\\xa6', ""https://t.co/eylv7kbvay'""]",154.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0
17,b'rt @unafulanitaa: as\xc3\xad de caidas est\xc3\xa1n mis esperanzas de volver a creer en el amor. \xf0\x9f\x98\xa9\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb https://t.co/howx3xzusx',[ 0  0  0 -2  0  0  0  0 -2  0 -3  0  1  2  0  0  0],"[""b'rt"", '@unafulanitaa:', 'as\\xc3\\xad', 'de', 'caidas', 'est\\xc3\\xa1n', 'mis', 'esperanzas', 'de', 'volver', 'a', 'creer', 'en', 'el', 'amor.', '\\xf0\\x9f\\x98\\xa9\\xf0\\x9f\\x91\\x8c\\xf0\\x9f\\x8f\\xbb', ""https://t.co/howx3xzusx'""]",172.0,2.0,4.0,0.0,10.0,2.0,2.0,0.0
18,b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,0.0
18,"b'rt @alilanzagorta: amiga, si tu pap\xc3\xa1 est\xc3\xa1 internado en el imss de orizaba por covid, en diciembre terminas tu carrera de criminolog\xc3\xada y te\xe2\x80\xa6'",[ 0  0  0 -2  0  0  0  0  1  2  0 -2  0  0  0  1  0  0  0  0 -2  0  0  0],"[""b'rt"", '@alilanzagorta:', 'amiga,', 'si', 'tu', 'pap\\xc3\\xa1', 'est\\xc3\\xa1', 'internado', 'en', 'el', 'imss', 'de', 'orizaba', 'por', 'covid,', 'en', 'diciembre', 'terminas', 'tu', 'carrera', 'de', 'criminolog\\xc3\\xada', 'y', ""te\\xe2\\x80\\xa6'""]",174.0,0.0,6.0,0.0,12.0,4.0,2.0,0.0
19,b'@hernanjua \xc3\x89so es correcto \nlo malo son las compa\xc3\xb1\xc3\xadas hoy verificando la factura de cable onda me lleg\xc3\xb3 con un aume\xe2\x80\xa6 https://t.co/awggekw3xf',[ 0  0 -2  0  0 -1  0 -1  0  0  0 -1  0 -2  0  0  2  0  0  0  0  0],"[""b'@hernanjua"", '\\xc3\\x89so', 'es', 'correcto', '\\nlo', 'malo', 'son', 'las', 'compa\\xc3\\xb1\\xc3\\xadas', 'hoy', 'verificando', 'la', 'factura', 'de', 'cable', 'onda', 'me', 'lleg\\xc3\\xb3', 'con', 'un', 'aume\\xe2\\x80\\xa6', ""https://t.co/awggekw3xf'""]",183.0,0.0,4.0,6.0,14.0,0.0,2.0,0.0
19,b'rt @indirectasrock: amor es que te dejen calentarte las patitas fr\xc3\xadas entre sus piernas.',[ 0  0  2 -2  0 -2  0  0 -1  0  0  0  0  0],"[""b'rt"", '@indirectasrock:', 'amor', 'es', 'que', 'te', 'dejen', 'calentarte', 'las', 'patitas', 'fr\\xc3\\xadas', 'entre', 'sus', ""piernas.'""]",98.0,0.0,4.0,2.0,8.0,0.0,2.0,0.0
20,b'rt @thejusticeman19: 1er d\xc3\xada de clase y ya cable onda esta dando problema!! hasta cuando @aseppanama',[ 0  0  0  0 -2  0  0  0  0  0 -2  0  0  0  0  0],"[""b'rt"", '@thejusticeman19:', '1er', 'd\\xc3\\xada', 'de', 'clase', 'y', 'ya', 'cable', 'onda', 'esta', 'dando', 'problema!!', 'hasta', 'cuando', ""@aseppanama'""]",110.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
20,b'@telepresencia1 @anyarato @ledoleon @jc_parrard @luisluperdomo @ney65940530 @juanlozano_r @cumbieropanama @fruizo\xe2\x80\xa6 https://t.co/smdzdgkler',[0 0 0 0 0 0 0 0 0 0],"[""b'@telepresencia1"", '@anyarato', '@ledoleon', '@jc_parrard', '@luisluperdomo', '@ney65940530', '@juanlozano_r', '@cumbieropanama', '@fruizo\\xe2\\x80\\xa6', ""https://t.co/smdzdgkler'""]",152.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
21,"b'@juanca_menrod @soto_enis @teamcableonda con cable onda ten\xc3\xada 100 megas y me llegaban como 10 y siempre se ca\xc3\xada, ah\xe2\x80\xa6 https://t.co/2jt3ntwynv'",[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],"[""b'@juanca_menrod"", '@soto_enis', '@teamcableonda', 'con', 'cable', 'onda', 'ten\\xc3\\xada', '100', 'megas', 'y', 'me', 'llegaban', 'como', '10', 'y', 'siempre', 'se', 'ca\\xc3\\xada,', 'ah\\xe2\\x80\\xa6', ""https://t.co/2jt3ntwynv'""]",168.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
21,b'rt @rguezzale: encontrar amor y amistad en la misma persona es ganar en la vida.',[ 0  0  0  2  0  0  1 -1  0  0 -2  0  1 -1  0],"[""b'rt"", '@rguezzale:', 'encontrar', 'amor', 'y', 'amistad', 'en', 'la', 'misma', 'persona', 'es', 'ganar', 'en', 'la', ""vida.'""]",83.0,0.0,2.0,4.0,10.0,4.0,2.0,0.0
22,b'@jostindiazjd depende si el servicio es de cable onda haha',[ 0  0 -2  2  0 -2 -2  0  0  0],"[""b'@jostindiazjd"", 'depende', 'si', 'el', 'servicio', 'es', 'de', 'cable', 'onda', ""haha'""]",61.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0
22,b'rt @predondas: amor y amistad seg\xc3\xban jorge luis borges. https://t.co/pdc3dxaowm',[0 0 2 0 0 0 0 0 0 0],"[""b'rt"", '@predondas:', 'amor', 'y', 'amistad', 'seg\\xc3\\xban', 'jorge', 'luis', 'borges.', ""https://t.co/pdc3dxaowm'""]",88.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
23,b'cable onda no sirve',[ 0  0 -1  0],"[""b'cable"", 'onda', 'no', ""sirve'""]",22.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
23,"b'rt @cityoran: un d\xc3\xada una amiga me estaba contando su historia de amor que nunca funcion\xc3\xb3, la escuche y lo dijo con tanto sentimiento que me\xe2\x80\xa6'","[ 0  0  0  0  0  0  2  0  0  0  0 -2  2  0  0  0 -1  0  0 -1  0  0  0  0
  0  0]","[""b'rt"", '@cityoran:', 'un', 'd\\xc3\\xada', 'una', 'amiga', 'me', 'estaba', 'contando', 'su', 'historia', 'de', 'amor', 'que', 'nunca', 'funcion\\xc3\\xb3,', 'la', 'escuche', 'y', 'lo', 'dijo', 'con', 'tanto', 'sentimiento', 'que', ""me\\xe2\\x80\\xa6'""]",168.0,0.0,2.0,4.0,10.0,0.0,4.0,0.0
24,b'@juanca_menrod @soto_enis @teamcableonda yo ten\xc3\xada cable onda y me cambie hace 2 a\xc3\xb1os  por el malisimo internet que\xe2\x80\xa6 https://t.co/l0mthfpcwm',[0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0],"[""b'@juanca_menrod"", '@soto_enis', '@teamcableonda', 'yo', 'ten\\xc3\\xada', 'cable', 'onda', 'y', 'me', 'cambie', 'hace', '2', 'a\\xc3\\xb1os', 'por', 'el', 'malisimo', 'internet', 'que\\xe2\\x80\\xa6', ""https://t.co/l0mthfpcwm'""]",167.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0
24,b'rt @dparleymexico: el de hoy para manejo de bank\n\nechenle amor y cari\xc3\xb1o para que ganemos todos \n\n\xe2\x9d\xa4 y rt https://t.co/yh0kt4t41m',[ 0  0  2 -2  0  0  0 -2  0  2  0  0  0  0  0  0  0  0 -2  0],"[""b'rt"", '@dparleymexico:', 'el', 'de', 'hoy', 'para', 'manejo', 'de', 'bank\\n\\nechenle', 'amor', 'y', 'cari\\xc3\\xb1o', 'para', 'que', 'ganemos', 'todos', '\\n\\n\\xe2\\x9d\\xa4', 'y', 'rt', ""https://t.co/yh0kt4t41m'""]",152.0,0.0,6.0,0.0,10.0,0.0,4.0,0.0
25,b'rt @mayelaabr: te odio cable onda',[ 0  0 -2 -2  0  0],"[""b'rt"", '@mayelaabr:', 'te', 'odio', 'cable', ""onda'""]",36.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
25,b'rt @angelpavon9: la mara que cree que los \xe2\x80\x9cjajajajaja te amo\xe2\x80\x9d son una declaraci\xc3\xb3n de amor son clowns',[ 0  0 -1  0  0  0  0 -1  0 -2  0  0  0  0 -2  2  0  0],"[""b'rt"", '@angelpavon9:', 'la', 'mara', 'que', 'cree', 'que', 'los', '\\xe2\\x80\\x9cjajajajaja', 'te', 'amo\\xe2\\x80\\x9d', 'son', 'una', 'declaraci\\xc3\\xb3n', 'de', 'amor', 'son', ""clowns'""]",132.0,0.0,4.0,4.0,10.0,0.0,2.0,0.0
26,b'te odio cable onda',[ 0 -2  0  0],"[""b'te"", 'odio', 'cable', ""onda'""]",21.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
